token	repeticiones	#docs
ordinary	7	6
individuals	81	44
whose	78	58
has	1040	210
compromised	1	1
auditors	5	2
demanded	12	11
names	29	18
seeking	38	30
aids	73	23
boston	67	15
clinic	9	8
once	80	43
disclosed	6	5
agencies	99	48
harvard	40	9
community	206	94
plan	180	73
m	1483	157
o	568	129
admitted	25	17
routinely	5	3
entering	24	21
detailed	68	48
notes	120	68
psychotherapy	5	3
sessions	10	7
into	437	177
then	198	77
accessible	7	7
all	929	274
clinical	23	15
employees	135	33
maryland	36	36
eight	36	23
medicaid	60	6
clerks	4	3
prosecuted	14	8
selling	42	24
printouts	1	1
recipients	25	15
financial	181	75
resources	137	65
dependents	7	6
sales	83	28
os	116	50
sending	16	14
letters	18	13
detailing	6	6
problems	283	97
surprised	2	2
discovered	19	14
discussed	76	55
employee	181	26
program	391	128
counselors	11	9
became	27	19
knowledge	87	47
workers	215	41
documented	10	9
instances	15	11
breaches	6	3
undoubtedly	1	1
millions	25	19
similar	95	58
either	101	57
harmed	2	2
spotlight	8	6
becomes	48	31
imperative	2	2
court	542	66
appeals	59	17
circuit	22	7
ruled	14	11
employer	142	17
outweighed	1	1
doe	59	9
v	453	80
southeastern	11	10
pennsylvania	63	50
transportation	54	31
authority	129	48
overturned	7	6
jury	37	16
award	37	20
taking	76	51
antiviral	1	1
drug	116	33
azt	638	43
infection	5	3
hiv	25	9
known	110	64
due	116	63
breach	35	7
prescription	10	9
benefits	281	51
agreed	40	29
constitutional	71	33
limited	120	52
monitoring	14	11
determine	60	39
fraud	63	15
excessive	12	11
decision	203	68
rested	2	2
adverse	7	6
employment	168	32
harassment	37	10
demotion	1	1
result	122	72
dissenting	5	4
judge	96	26
lewis	36	26
stated	18	12
quot	607	36
hope	58	35
wrong	23	17
predict	9	9
case	512	173
future	201	93
disclose	6	5
private	136	65
audit	58	10
company	191	74
benefit	96	58
escape	17	12
liability	72	23
harms	2	2
errors	17	13
difficult	53	35
correct	33	27
control	275	107
mary	15	9
rose	41	28
taylor	32	27
springfield	68	23
massachusetts	43	41
denied	31	23
year	452	198
because	304	105
error	30	16
bureau	25	18
mib	3	2
database	12	10
used	298	125
reported	392	53
ms	932	15
abnormal	2	2
urinalysis	1	1
though	41	27
taken	75	51
blood	41	18
test	77	42
go	138	68
commissioner	5	4
received	85	56
despite	40	29
horror	5	5
about	514	182
many	306	117
americans	44	26
share	74	34
kept	16	15
indeed	18	9
intended	44	22
foster	17	13
encourage	20	17
submitted	17	13
payor	2	2
entity	9	7
ethical	39	23
sometimes	55	33
evaporates	1	1
putting	9	8
risk	82	41
termed	8	7
leaders	82	50
ceos	3	2
physicians	16	11
nurses	37	11
regulators	7	4
payors	1	1
governed	11	11
policies	160	63
current	270	106
system	556	142
engage	24	14
tactics	28	21
avoid	39	25
threats	19	15
ask	36	27
doctors	34	14
false	23	12
diagnosis	27	15
fear	47	30
withhold	10	6
losing	18	16
psychiatric	19	10
fearing	3	3
danger	14	10
hands	24	22
ruin	3	3
job	128	35
harm	31	9
reputation	10	9
prevent	50	34
numerous	41	35
simple	42	33
costly	9	8
step	65	39
paying	35	13
out	338	147
pocket	3	2
creation	54	39
paid	45	28
coverage	108	35
insurers	6	4
candid	2	2
enough	37	27
concede	3	3
business	566	163
reluctant	4	4
individually	5	5
requested	14	13
comply	11	7
pressed	9	5
course	61	39
fiduciary	4	2
themselves	60	46
don	99	46
realize	7	7
direct	65	46
actually	38	28
controls	29	20
intolerable	4	2
payment	40	15
portion	17	12
premiums	5	3
amounts	18	16
unfettered	2	2
advances	14	13
exacerbate	1	1
example	167	70
local	242	88
levels	67	47
forming	13	13
coalitions	6	4
develop	60	45
automated	8	8
linked	19	17
systems	220	88
containing	19	15
lifetime	6	5
histories	9	9
projects	42	30
cost	121	56
reduction	27	22
improved	29	21
attempting	19	15
crafting	1	1
internal	84	48
regulations	60	30
contracts	40	21
addition	73	48
seen	151	62
component	25	18
package	26	17
legislatures	4	4
design	139	66
effective	87	53
mechanisms	18	14
monitor	30	19
newly	23	19
created	104	66
attempts	76	49
being	304	138
made	224	104
concerns	29	24
across	35	24
settings	12	11
leave	55	19
outcome	26	18
piecemeal	2	1
approach	113	52
lead	50	34
conflict	109	49
ultimately	22	20
set	152	95
overall	45	35
goal	33	27
relegating	1	1
different	226	106
leaves	21	17
subject	254	169
differing	11	10
degrees	36	25
depending	27	23
receive	113	47
means	127	69
traveling	8	8
county	136	39
lines	52	38
lose	9	9
ability	94	52
how	675	178
moreover	11	6
governments	57	31
prevented	10	9
sharing	21	16
contained	16	13
neighboring	10	8
insufficiently	1	1
deserve	1	1
vulnerability	3	3
grows	4	4
exponentially	1	1
makes	56	36
possible	131	83
instant	2	2
wedi	1	1
pointed	17	16
medium	41	21
cumbersome	2	2
expensive	17	15
ironically	4	4
negative	40	28
impact	155	65
minimized	2	2
although	107	54
gave	23	19
claim	61	35
forms	107	65
magnitude	5	4
sheer	5	4
difficulty	13	12
unobtrusively	1	1
reviewing	8	6
large	140	83
numbers	51	37
nevertheless	5	4
evil	36	14
designed	113	68
promote	42	25
closely	29	22
guard	9	7
filing	22	12
recognize	17	14
enhance	13	9
simply	45	30
focus	58	39
poses	6	6
undermine	8	7
widespread	11	9
agreement	116	53
experts	27	19
build	23	18
front	45	35
too	52	37
risky	3	3
major	236	108
regain	4	4
place	168	100
cornerstones	1	1
achieve	36	31
iii	42	32
following	153	91
incorporated	15	9
copy	170	161
amend	4	4
established	53	39
requiring	24	17
trustees	4	4
consent	48	16
prior	55	41
safeguards	4	4
developed	96	58
given	100	60
bound	17	14
warrant	8	6
strict	36	15
civil	222	76
criminal	205	36
sanctions	9	8
against	328	114
mishandle	1	1
transmission	32	16
framework	22	17
incomplete	5	5
produce	35	26
worst	11	8
worlds	13	11
confusion	12	11
red	59	36
tape	13	6
legitimate	17	13
users	77	24
debilitating	1	1
mistrust	1	1
iv	27	14
ensuring	5	5
cannot	96	41
move	64	34
forward	28	22
assuring	2	2
highly	50	36
surveys	9	8
indicate	17	12
suspicious	4	4
scale	56	24
computerization	2	2
dire	3	3
expected	63	34
embrace	2	2
participate	30	23
rapidly	10	9
environment	131	65
price	186	140
participation	37	26
loss	59	37
fails	25	15
win	57	26
fail	19	16
having	89	68
withdraw	7	7
honest	8	7
fall	77	50
cracks	4	2
unprotected	3	3
urge	10	10
adequately	9	7
senate	90	38
labor	176	48
finance	58	33
bills	20	16
hearing	43	23
senator	42	15
bennett	22	22
ut	89	25
patrick	16	13
leahy	21	16
vt	186	9
dole	24	23
kassebaum	10	4
kennedy	71	37
frist	1	1
simon	19	18
hatch	13	12
gregg	9	9
stevens	34	25
jeffords	14	14
kohl	12	8
daschle	10	10
feingold	5	5
mark	21	15
up	374	151
coming	28	20
months	103	52
cornell	68	12
review	412	106
p	409	143
matthew	6	5
brelis	1	1
alliance	63	39
says	74	26
us	1872	105
violated	6	6
globe	10	10
april	139	54
tamar	3	1
lewin	3	1
lawsuit	29	8
seeks	14	14
bar	159	60
files	46	26
n	2259	135
y	855	113
times	150	87
roil	2	1
arena	9	7
riley	2	2
open	130	65
secrets	17	12
newsday	3	3
march	136	47
heath	3	3
include	143	75
physician	30	12
city	236	84
logged	2	2
onto	19	14
nurse	56	14
pregnant	18	10
colorado	64	45
student	144	43
sold	26	17
attorneys	48	23
practicing	9	8
malpractice	52	6
jacksonville	4	4
florida	46	40
old	107	59
daughter	16	11
clerk	12	6
went	23	20
work	532	151
mother	51	28
left	89	45
unattended	1	1
accessed	7	6
prank	1	1
called	146	75
seven	51	39
told	107	38
tested	16	13
positive	61	30
cir	1	1
filed	30	19
december	94	41
id	142	22
page	258	178
home	334	170
posted	21	10
contact	135	81
webmaster	6	6
org	1085	18
ws	8	4
follow	51	29
ups	35	18
post	157	60
followup	18	6
workspace	91	16
user	105	29
faq	14	8
jeffrey	2	2
moore	22	20
july	240	44
would	485	134
like	145	78
accurate	32	13
simulated	15	10
machine	41	24
cycle	51	28
production	131	49
equiptment	2	1
built	43	28
re	234	78
james	72	34
potter	7	6
gfd	1	1
mail	147	72
comments	248	128
optional	25	16
link	79	34
url	21	12
title	270	128
image	141	55
aaa	24	7
industrial	180	58
robot	351	26
store	47	20
reveals	21	16
nachi	14	2
sc	67	8
series	69	45
robots	63	14
general	358	133
purpose	85	61
light	92	55
weight	28	15
fastest	6	6
speed	32	23
class	97	55
rigid	3	3
line	146	81
wrists	1	1
featuring	9	8
internally	3	3
routed	2	2
air	155	47
application	131	77
cables	4	3
low	108	58
maintenance	63	31
components	27	25
again	41	30
demonstrates	13	12
exceptional	12	8
value	119	65
innovative	23	17
robotics	19	11
engineering	49	27
models	68	32
features	45	28
high	317	94
accuracy	24	13
competitively	1	1
priced	4	3
flexible	14	13
installation	24	13
options	50	21
largest	46	34
payload	6	4
space	174	54
saving	11	11
ar	58	13
controller	24	12
ergonomic	3	2
friendly	14	13
easy	37	28
operation	56	42
teach	31	11
pendant	7	5
simultaneous	14	9
axis	24	11
hot	17	12
edit	28	3
points	86	38
memory	14	11
capacity	36	25
menu	28	11
driven	10	9
teaching	129	27
slim	3	3
language	128	48
remote	91	21
display	28	10
capability	32	18
return	157	87
movement	201	78
arc	36	17
welding	16	6
material	117	59
handling	20	14
sealing	1	1
cutting	27	16
palletizing	1	1
assembly	17	12
next	222	169
sa	111	16
send	154	139
email	78	19
phone	235	42
f	269	56
est	48	28
click	226	118
icon	18	8
modified	31	27
saturday	8	8
atmospheric	46	11
sciences	47	12
homepage	11	10
statistics	58	21
aug	44	11
reqs	23	6
requests	36	14
date	75	44
total	190	57
transfers	33	14
reversed	21	10
subdomain	17	6
arpa	91	7
addr	85	6
de	3972	134
uni	310	8
stuttgart	22	6
imit	1	1
pc	82	16
kai	7	4
ac	1160	9
zamg	2	2
zaamus	1	1
siemens	19	7
proxy	34	7
au	984	9
edu	10802	20
qut	9	5
bee	5	5
eese	3	2
lab	146	11
watt	3	2
tafensw	4	3
isufw	1	1
unisa	14	6
pelican	1	1
schulz	1	1
sat	20	11
uwa	8	5
styx	1	1
gov	1197	38
bom	7	6
ho	31	12
leo	76	25
tas	18	8
pacit	5	5
anfi	1	1
net	8368	41
aone	38	6
syd	16	6
px	1	1
ice	55	19
hobart	7	6
max	1230	13
tmns	3	3
me	143	38
pool	19	14
oz	71	7
su	179	32
chem	104	6
herring	2	2
eunet	85	6
eu	115	35
skynet	2	2
charleroi	1	1
ppp	205	6
br	160	8
com	12151	187
rio	7	7
saoconrado	1	1
ca	2654	25
ab	248	14
compusmart	6	6
bctel	4	3
dfo	3	3
bio	37	8
emerald	1	1
forestry	8	5
nofc	2	2
neptune	13	7
istar	9	5
hfx	8	4
ts	256	14
nb	57	10
nbnet	7	6
btstts	1	1
nwcsts	1	1
neocom	6	6
ns	92	9
openface	1	1
spamburger	1	1
uwo	55	6
slip	164	6
ch	186	12
ethz	15	6
rothorn	1	1
unibe	6	6
elwing	1	1
cities	27	20
bigtca	1	1
accesscom	7	6
pm	122	31
aol	58	13
www	176	55
j	386	80
k	2091	63
l	952	140
arco	8	8
inetg	1	1
atext	6	6
crimpshrine	1	1
axionet	6	6
mb	66	6
azstarnet	17	8
usr	12	4
ip	53	7
baxter	22	6
roundlake	2	2
xp	2	2
mpg	12	5
boeing	9	8
fw	15	6
burgoyne	6	6
sl	113	7
compassnet	4	4
hou	16	7
compuserve	30	15
ad	97	45
dd	4	2
hd	9	8
md	58	11
dancris	1	1
mp	6	5
deltanet	6	6
ana	9	6
destec	2	2
gate	21	10
doitnow	2	1
phx	20	6
dsc	2	2
nt	98	11
fcr	2	2
dsccc	4	4
camelot	1	1
dtn	1	1
jayf	1	1
erols	7	6
hdf	1	1
man	253	77
execpc	7	6
murgo	1	1
fluke	1	1
futureone	1	1
gnn	16	6
goodnet	6	6
tuc	3	2
gtegsc	31	6
mtv	35	23
hoffmant	1	1
gulfnet	6	6
gn	16	7
hac	9	7
isfu	1	1
iafrica	8	6
austin	42	13
socks	2	1
watson	12	8
inacom	1	1
keymaster	1	1
infobahnos	8	8
plecomp	1	1
innet	15	7
tex	8	7
interlog	9	6
cc	564	14
kaiwan	7	6
konnections	4	4
logica	4	4
juliet	12	4
lycos	17	6
qe	1	1
magmacom	6	6
dyna	1	1
mckinley	11	9
galileo	3	3
mdc	9	6
mdhc	1	1
ehuffman	1	1
megavision	7	5
col	21	15
mindspring	12	6
dialup	205	7
mnsinc	6	6
ghood	1	1
mot	23	8
webgate	3	3
mv	18	6
rstandler	1	1
mymnet	1	1
nesusa	6	6
host	11	8
netcom	35	10
ix	21	8
bal	6	5
bir	2	2
al	300	58
oh	148	11
kal	6	4
mi	428	56
min	19	11
mn	275	35
az	7095	51
sea	131	44
vie	1	1
va	162	15
netscape	19	12
njcc	6	6
norwest	3	3
relay	3	2
nsc	10	6
natsemi	1	1
bh	15	8
nytimes	3	3
gatekeeper	4	2
opentext	7	4
firewall	3	2
oracle	9	7
pacbell	37	6
srv	35	8
jlbrunn	1	1
mnet	4	3
pcix	6	6
newlondon	1	1
dyn	2	2
pcnet	14	6
pipeline	22	11
usa	185	55
pipe	9	5
pipex	12	6
du	117	10
primenet	96	6
cgz	1	1
fhu	6	6
tus	8	7
yum	5	5
prodigy	17	8
piweba	4	1
ext	13	6
qnet	22	6
lanc	6	6
regiononline	1	1
noble	2	2
rockwell	55	6
cca	7	6
oproxy	1	1
scruznet	8	6
mgj	1	1
syspac	6	6
tasc	18	6
read	56	33
istdsig	1	1
teleport	9	6
pdx	25	6
theriver	13	6
ti	37	17
dragon	4	4
tiptontel	1	1
dial	232	8
tir	6	6
transport	30	21
trw	35	6
sp	34	12
meweber	1	1
ubet	1	1
lou	1	1
utelfla	8	5
goba	1	1
webcrawler	6	6
beach	42	15
wec	15	6
bwi	6	6
wwwsrvr	1	1
weinberg	2	2
winternet	11	6
wni	2	2
seaweed	2	2
world	604	145
worldinfonet	1	1
xilinx	5	5
unknown	12	9
zoom	8	6
jpye	1	1
gwdg	5	5
mpae	1	1
osf	7	6
ruhr	10	5
prima	3	3
kelly	14	12
sbs	8	4
beast	2	2
landau	3	3
zepf	1	1
zepfpc	1	1
wuerzburg	7	5
kks	1	1
dk	174	7
dmi	8	5
tele	33	15
kbh	2	1
alaska	64	41
giadm	1	1
library	181	34
uaf	1	1
albany	41	9
asrc	3	2
climate	103	37
ozone	6	4
arizona	191	47
aspc	1	1
atmo	17	1
bozone	1	1
crystal	4	4
cyclone	2	2
fractus	1	1
halo	6	5
jed	1	1
lidar	1	1
nimbus	1	1
pearl	28	7
rain	55	13
speedy	2	2
steve	12	9
storm	6	4
stratus	15	6
wave	45	16
bpa	10	6
cs	435	11
lectura	1	1
poodle	1	1
duna	39	15
fos	8	7
admin	62	9
geo	27	11
palynolog	1	1
geog	8	6
hwr	1	1
river	32	22
ispe	1	1
se	1016	57
pub	52	27
lpl	8	5
deuteron	1	1
magcon	1	1
ltrr	1	1
abba	4	4
opt	6	6
sci	30	11
titan	11	7
pcce	1	1
bass	1	1
pharm	16	7
reganlab	1	1
physics	66	19
soliton	1	1
radiology	12	11
gist	1	1
rescomp	9	6
rc	13	7
kitts	1	1
nevis	4	4
tortola	1	1
uug	6	6
gas	184	43
helium	3	3
yuma	3	3
eclipse	10	7
asu	24	7
eas	6	5
enpc	1	1
inre	6	6
berkeley	73	12
sph	8	5
uhall	1	1
brandeis	8	6
ccs	48	6
oprian	1	1
bu	12	8
duckwater	1	1
caltech	21	7
ama	6	5
kdv	1	1
vivaldi	1	1
colostate	33	7
atmos	21	8
entropy	1	1
ldgo	1	1
kbox	1	1
cwru	34	6
lit	9	7
drexel	21	7
ece	31	7
cbis	1	1
duke	73	10
botany	6	4
whslab	1	1
env	7	4
faculty	33	13
erau	8	5
pr	63	21
gatech	78	6
dougd	1	1
idbsu	6	6
asm	107	107
lclark	4	4
olin	10	9
louisville	42	6
academic	48	28
leuthart	1	1
lsu	51	6
srcc	3	3
maestro	2	2
maricopa	39	9
mc	32	9
x	268	72
pvc	2	2
fitfran	1	1
mass	206	133
ssc	15	6
dgl	1	1
miami	53	9
rsmas	1	1
zebra	1	1
mit	146	45
ll	89	20
nearlink	1	1
msstate	44	6
cbi	3	3
cobi	1	1
mtu	44	7
strike	31	20
nd	91	17
helios	6	6
kierkegaard	5	4
neu	12	6
nmt	7	6
nighthawk	1	1
nodak	144	6
und	59	9
ohio	148	43
ag	47	14
kh	1	1
ohiou	23	6
physplnt	1	1
wo	8	7
ou	6	5
nssl	2	2
ork	1	1
psu	178	7
essc	4	2
faintsun	1	1
stomate	1	1
purdue	74	8
atms	2	2
warmpool	1	1
tilt	4	3
rice	58	11
owlnet	6	6
moray	1	1
sdsmt	8	6
ias	6	5
mist	2	2
sdsu	6	6
mx	119	6
shsu	6	6
sjsu	6	6
facultypc	1	1
stanford	22	12
grand	24	17
mac	29	11
rhine	1	1
sunysb	34	7
msrc	1	1
cheget	1	1
tamu	35	6
alcorn	1	1
coriolis	3	3
csrp	1	1
tamuk	2	2
taisun	1	1
trinity	21	9
engr	62	7
newton	6	6
ucar	20	8
atd	2	2
kirsh	1	1
cgd	4	3
gauss	1	1
git	4	4
harvest	6	5
mmm	6	6
birch	3	3
ucdavis	25	8
atm	6	6
blueprint	4	3
ucla	68	8
wla	7	6
ucr	14	6
mccluskey	1	1
ucsb	33	6
sap	2	2
ucsc	10	6
ernie	1	1
ucsd	13	7
chagos	1	1
splash	2	2
udel	47	6
strauss	4	2
uic	69	6
nurs	3	3
g	580	112
uiowa	68	6
cbe	8	6
umd	57	9
texmex	1	1
umn	132	6
spa	15	7
alethea	1	1
unh	13	6
sr	37	13
kelvin	2	2
sherman	4	4
unl	6	6
csd	45	6
dgosselin	1	1
unm	10	6
eece	2	2
opus	7	5
usf	35	6
cfr	8	5
utah	78	37
biology	10	7
biol	8	5
met	84	53
alpental	1	1
radar	133	22
utexas	111	6
csr	4	4
laplace	1	1
ots	6	6
ph	75	14
phym	1	1
uwm	18	6
alpha	9	8
cns	115	6
uusa	2	2
futura	1	1
windy	1	1
maverick	2	2
minbar	2	2
vorlon	1	1
wisc	43	6
meteor	3	2
sunset	2	2
wright	55	28
yale	62	11
commons	11	7
node	8	2
es	3756	74
ciemat	3	3
ima	2	2
inm	2	2
ofpro	1	1
tid	3	3
tidos	1	1
upv	5	5
udmf	1	1
boyle	17	3
uv	3	3
ci	110	10
video	23	16
fi	311	9
helsinki	25	12
vesuri	1	1
jyu	17	6
horus	1	1
uta	14	6
juoru	1	1
fr	280	15
cnes	1	1
cst	9	5
nikita	3	3
ens	10	7
pyrolite	1	1
onera	3	2
polytechnique	7	4
jungle	15	7
univ	33	6
rennes	6	5
meule	1	1
bnl	24	6
ags	2	2
dilg	1	1
gfdl	6	4
sak	3	3
lanl	23	6
smee	1	1
llnl	29	12
turbulence	1	1
nasa	137	36
gsfc	11	7
anchor	4	4
gscsgi	1	1
ivv	5	5
jpl	39	28
babylon	3	3
larc	7	6
rti	9	8
sisyphus	2	2
noaa	33	7
abq	17	6
dvnnwscr	1	1
pcg	1	1
wrh	1	1
nimbo	1	1
osmre	5	5
etana	1	1
pima	9	7
wwm	2	1
srp	3	3
gateway	15	9
ucia	5	5
usda	15	8
nrcs	5	5
engpc	1	1
usgs	15	6
wr	10	6
pa	149	42
fwapas	1	1
w	164	76
dcascr	1	1
usps	6	6
gk	8	5
east	215	67
hk	149	7
ust	14	6
ustsu	1	1
stikom	1	1
sby	1	1
netra	2	1
ie	78	14
ucg	3	3
biomar	1	1
il	511	31
ilwww	1	1
enel	3	3
cre	3	2
giorgi	1	1
jp	582	8
hokudai	12	5
math	126	15
galois	1	1
nagoya	10	6
